,song,song_id,duration,popularity,artist,artist_id,song_id_f,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,0,1,2,3,4,5,6
0,Bermudachords,1Hku0r6JBdATTjLfL4gCZ2,469200,32,['Andhim'],['6XJeFzmI6vrWyHcdB7EImP'],1Hku0r6JBdATTjLfL4gCZ2,0.029,0.96,0.499,0.948,0.121,-7.483,0.0565,124.003,0.365,Andhim,,,,,,
1,Moc energia,2CdHgWd7uKWZD32eR4dukp,276410,29,['DJ Trakmajster'],['4FDUlEAYU58WOUULJtx9l8'],2CdHgWd7uKWZD32eR4dukp,0.0121,0.9,0.756,0.0,0.534,-7.571,0.198,127.981,0.642,DJ Trakmajster,,,,,,
2,Papierowy man,71bH5zeAg36gxxEYayfSmp,197500,32,['RAU'],['1xCv6hHBPi9VlLay5bqdVb'],71bH5zeAg36gxxEYayfSmp,0.136,0.931,0.508,0.000537,0.11,-8.883,0.0671,96.016,0.747,RAU,,,,,,
3,Trebles (Mix Edit),5Y90cxY9a7tdqPCdjaS33B,252199,37,['MBrother'],['0ezCMQkF2T041b8HA3pnwQ'],5Y90cxY9a7tdqPCdjaS33B,0.000147,0.898,0.498,0.868,0.129,-5.781,0.0956,135.989,0.936,MBrother,,,,,,
4,Broken,74371qe3JITue5M1q3NhrN,249026,30,['K Dinero'],['2pTsUSxtCYHSUqYLT3jIFs'],74371qe3JITue5M1q3NhrN,0.0259,0.593,0.623,3.34e-05,0.136,-11.832,0.144,91.033,0.401,K Dinero,,,,,,
5,Africa,2374M0fQpWi3dLnB54qaLX,295893,83,['Toto'],['0PFtn5NtBbbUNbU9EAmIWF'],2374M0fQpWi3dLnB54qaLX,0.257,0.671,0.373,7.95e-05,0.0481,-18.064,0.0323,92.717,0.732,Toto,,,,,,
6,Scatman (ski-ba-bop-ba-dop-bop),623rRTKwGmgjH6sjE9uWLh,215973,65,['Scatman John'],['4omQQTNN7ILiMsSB2k9eqX'],623rRTKwGmgjH6sjE9uWLh,0.0655,0.65,0.82,0.00274,0.215,-10.9,0.0356,135.982,0.757,Scatman John,,,,,,
7,"Relax, Take It Easy",71zY1dyR356wGSEvZPgmaV,270000,49,['MIKA'],['5MmVJVhhYKQ86izuGHzJYA'],71zY1dyR356wGSEvZPgmaV,0.058,0.694,0.694,0.0126,0.129,-8.21,0.0328,121.876,0.608,MIKA,,,,,,
8,Material Girl,22sLuJYcvZOSoLLRYev1s5,240280,70,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],22sLuJYcvZOSoLLRYev1s5,0.333,0.742,0.883,7.51e-06,0.0964,-3.419,0.0329,136.506,0.978,Madonna,,,,,,
9,"Dzień dobry, kocham Cię",6FBPQuYFZIne5cpTASUOGR,201733,47,['Strachy Na Lachy'],['4DXXg7xzgKAEYeFhh9wAtk'],6FBPQuYFZIne5cpTASUOGR,0.24,0.664,0.733,0.0,0.379,-6.745,0.0593,136.097,0.816,Strachy Na Lachy,,,,,,
10,We Are Your Friends - Radio Edit,6Unf6X6PC7KZtrRXH3dFHg,164960,54,"['Justice', 'Simian']","['6IonV2uZzoS46YZ9Ds2Jxs', '19rgRqYVP3LJf9tGmMWLjP']",6Unf6X6PC7KZtrRXH3dFHg,0.0102,0.646,0.977,0.769,0.201,1.585,0.167,123.016,0.606,Justice,Simian,,,,,
11,Albatroz - Original Mix,0ZwQpR8uCzOGzh0xe2qkR7,289500,20,['Aérotique'],['6qOzyug9zoGuMHTmErJ6zo'],0ZwQpR8uCzOGzh0xe2qkR7,0.0276,0.872,0.574,0.821,0.491,-11.545,0.101,119.954,0.397,Aérotique,,,,,,
12,Llama In My Living Room,5OYUtKjALXnNjXRwTVStCK,181885,62,"['AronChupa', 'Little Sis Nora']","['5vCOdeiQt9LyzdI87kt5Sh', '1KYt3TMGpa1LtVi0m2A0F9']",5OYUtKjALXnNjXRwTVStCK,0.53,0.773,0.654,0.0,0.109,-7.796,0.284,128.989,0.607,AronChupa,Little Sis Nora,,,,,
13,Wake Me up Before You Go-Go,0ikz6tENMONtK6qGkOrU3c,231333,76,['Wham!'],['5lpH0xAS4fVfLkACg9DAuM'],0ikz6tENMONtK6qGkOrU3c,0.272,0.62,0.574,0.0,0.0607,-11.893,0.0421,81.548,0.9,Wham!,,,,,,
14,Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,251088,80,"['Clean Bandit', 'Sean Paul', 'Anne-Marie']","['6MDME20pz9RveH9rEXvrOM', '3Isy6kedDrgPYoTS1dazA9', '1zNqDE7qDGCsyzJwohVaoX']",5knuzwU65gJK7IF5yJsuaW,0.406,0.72,0.763,0.0,0.18,-4.068,0.0523,101.965,0.742,Clean Bandit,Sean Paul,Anne-Marie,,,,
15,No Money,0gb1J5UrTpzaU1s3nupgCd,189126,73,['Galantis'],['4sTQVOfp9vEMCemLw50sbu'],0gb1J5UrTpzaU1s3nupgCd,0.0282,0.671,0.916,0.00762,0.24,-4.014,0.0397,126.01,0.803,Galantis,,,,,,
16,Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,2yAVzRiEQooPEJ9SYx11L3,283747,71,"['Eiffel 65', 'Gabry Ponte']","['64rxQRJsLgZwHHyWKB8fiF', '5ENS85nZShljwNgg4wFD7D']",2yAVzRiEQooPEJ9SYx11L3,0.259,0.822,0.969,0.000162,0.39,-11.471,0.0582,128.007,0.765,Eiffel 65,Gabry Ponte,,,,,
17,Take On Me,2WfaOiMkCvy7F5fcp2zZ8L,225280,82,['a-ha'],['2jzc5TC5TVFLXQlBNiIUzE'],2WfaOiMkCvy7F5fcp2zZ8L,0.018,0.573,0.902,0.00125,0.0928,-7.638,0.054,84.412,0.876,a-ha,,,,,,
18,Girls Just Want to Have Fun,4y1LsJpmMti1PfRQV9AWWe,238266,72,['Cyndi Lauper'],['2BTZIqw0ntH9MvilQ3ewNY'],4y1LsJpmMti1PfRQV9AWWe,0.22,0.71,0.799,0.000602,0.349,-4.897,0.0328,120.372,0.725,Cyndi Lauper,,,,,,
19,Ściernisco,4sAPyrIRUVKCax5d1bt96D,212088,40,['GOLEC UORKIESTRA'],['7sYIwdHZoqVUh6i58SJrmx'],4sAPyrIRUVKCax5d1bt96D,0.00162,0.602,0.946,0.0,0.106,-3.516,0.162,150.091,0.73,GOLEC UORKIESTRA,,,,,,
20,The Magic Key,1VsuSOEVhuCaybeb1rFeCM,228706,54,['One-T'],['70W0ftdGNlFkgrqu5O0QiI'],1VsuSOEVhuCaybeb1rFeCM,0.0855,0.809,0.728,3.33e-06,0.303,-1.252,0.0533,204.192,0.967,One-T,,,,,,
21,Losing My Religion,31AOj9sFz2gM0O3hMARRBx,268426,80,['R.E.M.'],['4KWTAlx2RvbpseOGMEmROg'],31AOj9sFz2gM0O3hMARRBx,0.163,0.671,0.849,0.0,0.0937,-5.03,0.0284,125.613,0.829,R.E.M.,,,,,,
22,Cheri Cheri Lady,2aEuA8PSqLa17Y4hKPj5rr,226333,64,['Modern Talking'],['79bxUQsBIXO8nVLB9fYKf7'],2aEuA8PSqLa17Y4hKPj5rr,0.458,0.677,0.616,0.0132,0.349,-13.826,0.032,114.223,0.851,Modern Talking,,,,,,
23,FRIENDS,08bNPGLD8AhKpnnERrAc6G,202620,87,"['Marshmello', 'Anne-Marie']","['64KEffDW9EtZ1y2vBYgq8T', '1zNqDE7qDGCsyzJwohVaoX']",08bNPGLD8AhKpnnERrAc6G,0.205,0.626,0.88,0.0,0.128,-2.384,0.0504,95.079,0.534,Marshmello,Anne-Marie,,,,,
24,God's Plan,6DCZcSspjsKoFjzjrWoCdn,198973,90,['Drake'],['3TVXtAsR1Inumwj472S9r4'],6DCZcSspjsKoFjzjrWoCdn,0.0332,0.754,0.449,8.29e-05,0.552,-9.211,0.109,77.169,0.357,Drake,,,,,,
25,Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,216408,79,"['Jason Derulo', 'Nicki Minaj', 'Ty Dolla $ign']","['07YZf4WDAMNwqr4jfgOZ8y', '0hCNtLu0JehylgoiP8L4Gh', '7c0XG5cIJTrrAgEC3ULPiq']",6kex4EBAj0WHXDKZMEJaaF,0.075,0.696,0.817,0.0,0.187,-3.862,0.109,98.064,0.782,Jason Derulo,Nicki Minaj,Ty Dolla $ign,,,,
26,I Took A Pill In Ibiza - Seeb Remix,17Fd6Yb7mSbinKG8LoWfFl,197933,24,"['Mike Posner', 'Seeb']","['2KsP6tYLJlTBvSUxnwlVWa', '5iNrZmtVMtYev5M9yoWpEq']",17Fd6Yb7mSbinKG8LoWfFl,0.0353,0.663,0.713,7.68e-06,0.0843,-6.647,0.112,101.965,0.69,Mike Posner,Seeb,,,,,
27,Swish Swish,2kVHAQKVtczchKctctzbtK,242510,22,"['Katy Perry', 'Nicki Minaj']","['6jJ0s89eD6GaHleKKya26X', '0hCNtLu0JehylgoiP8L4Gh']",2kVHAQKVtczchKctctzbtK,0.0196,0.836,0.716,1.83e-05,0.101,-5.211,0.0549,119.938,0.534,Katy Perry,Nicki Minaj,,,,,
28,Mambo No. 5 (A Little Bit of...),5lA6mFOvaiienokVbTZEQx,219600,25,['Lou Bega'],['46lnlnlU0dXTDpoAUmH6Qx'],5lA6mFOvaiienokVbTZEQx,0.107,0.607,0.802,0.0,0.305,-6.849,0.403,174.201,0.901,Lou Bega,,,,,,
29,Last Resort,4V05j7HDUU2bZQwDOeIySh,200480,16,['Papa Roach'],['4RddZ3iHvSpGV4dvATac9X'],4V05j7HDUU2bZQwDOeIySh,0.000624,0.56,0.892,0.000164,0.177,-3.365,0.0644,90.615,0.67,Papa Roach,,,,,,
30,Love Will Tear Us Apart,2JO3HwMRPeya8bXbtbyPcf,206866,69,['Joy Division'],['432R46LaYsJZV2Gmc4jUV5'],2JO3HwMRPeya8bXbtbyPcf,5.24e-05,0.443,0.956,0.825,0.135,-6.198,0.0511,146.754,0.909,Joy Division,,,,,,
31,Cykady Na Cykladach - 2011 Remastered Version,0SwAC0yvUxGq2frHlNCfvE,179226,40,['Maanam'],['4MiKufcWLuX6KDLzqhUgQD'],0SwAC0yvUxGq2frHlNCfvE,0.0682,0.454,0.84,0.00103,0.221,-7.169,0.312,178.168,0.898,Maanam,,,,,,
32,Little Swing,66U0ASk1VHZsqIkpMjKX3B,163809,60,"['AronChupa', 'Little Sis Nora']","['5vCOdeiQt9LyzdI87kt5Sh', '1KYt3TMGpa1LtVi0m2A0F9']",66U0ASk1VHZsqIkpMjKX3B,0.707,0.89,0.672,0.000604,0.177,-5.532,0.0621,126.036,0.598,AronChupa,Little Sis Nora,,,,,
33,Another Love - Zwette Edit,5snyhxAh55A2wlNRH7VVZJ,394573,67,"['Tom Odell', 'Zwette']","['2txHhyCwHjUEpJjWrEyqyX', '6J2749jPHYhAZUq79rsNi0']",5snyhxAh55A2wlNRH7VVZJ,0.0802,0.87,0.554,0.0739,0.115,-5.828,0.0635,123.998,0.462,Tom Odell,Zwette,,,,,
34,Love Never Felt so Good - Fedde Le Grand Remix Radio Edit,1CavzSzBIn4S6FTEu0sRZF,206175,43,"['Michael Jackson', 'Fedde Le Grand', 'Robin M Christopher']","['3fMbdgg4jU18AjLCKBhRSm', '7dc6hUwyuIhrZdh80eaCEE', '2uDoQjE6g8IKzcggeyWpTI']",1CavzSzBIn4S6FTEu0sRZF,0.00527,0.557,0.942,0.00168,0.1,-3.197,0.151,127.986,0.537,Michael Jackson,Fedde Le Grand,Robin M Christopher,,,,
